Program Name,Program Type,Size in Bytes
firewall-offline-cmd,Python script,106841
fixps,a /usr/bin/sh -e script,12022
flake8,Python script,953
flamegraph.pl,Perl script text executable,35898
flask-3.9,Python script,948
flatpak-bisect,Python script,7844
flatpak-coredumpctl,Python script,3433
flit,Python script,203
fluxbox-generate_menu,a /usr/bin/sh script,66875
foomatic-compiledb,Perl script text executable,4629
foomatic-configure,Perl script text executable,136767
foomatic-ppd-options,Perl script text executable,4000
foomatic-ppd-to-xml,Perl script text executable,11907
foomatic-ppdfile,Perl script text executable,9788
foomatic-printjob,Perl script text executable,35032
foomatic-searchprinter,Perl script text executable,2489
fpaste,Python script,29639
fprofpp,Perl script text executable,6452
freesolid-config,a /usr/bin/sh script,927
freetype-config,a /usr/bin/sh script,4474
ftp-rfc,a /usr/bin/sh script,687
futurize-3.9,Python script,960
gacutil,a /usr/bin/sh script,82
gacutil2,a /usr/bin/sh script,82
gapi3-codegen,a /usr/bin/sh script,59
gapi3-fixup,a /usr/bin/sh script,57
gapi3-parser,a /usr/bin/sh script,94
gcl,Lisp/Scheme program,335
gcore,Bourne-Again shell script,3473
gdb-add-index,a /usr/bin/sh script,4415
gdbus-codegen,Python script,2038
gem,Ruby script,348
gendiff,a /usr/bin/sh script,507
getopts,a /usr/bin/sh script,35
gettext.sh,a /usr/bin/sh script,5191
git-cola,Python script,1445
git-cola-sequence-editor,Python script,21859
git-dag,Python script,1450
glib-config,a /usr/bin/sh script,1971
glib-genmarshal,Python script,40977
glib-gettextize,a /usr/bin/sh script,5390
glib-mkenums,Python script,29792
glilypond,Perl script text executable,18434
gmt-config,Bourne-Again shell script,5544
gmt_shell_functions.sh,Bourne-Again shell script,18231
gmtswitch,Bourne-Again shell script,5772
gnome-abrt,Python script,11729
gnome-session,a /usr/bin/sh script,804
gnome-session-custom-session,a /usr/bin/sh script,57
gnome-shell-extension-prefs,a /usr/bin/sh script,663
gnome-shell-extension-tool,Python script,1706
gnome-shell-perf-tool,Python script,10613
gparted,a /usr/bin/sh script,6824
gperl,Perl script text executable,6643
gpg-zip,a /usr/bin/sh script,3529
gpinyin,Perl script text executable,5133
groffer,Perl script text executable,8243
grog,Perl script text executable,2778
grok-dumb-pull,Python script,981
grok-fsck,Python script,971
grok-manifest,Python script,979
grok-pull,Python script,971
gropdf,Perl script text executable,72074
grub2-kbdcomp,a /usr/bin/sh script,1672
gsettings-schema-convert,Python script,41831
gsnd,a /usr/bin/sh script,281
gstack,a /usr/bin/sh script,1068
gtester-report,Python script,19090
gtk-builder-convert,Python script,28760
gtk-config,a /usr/bin/sh script,2161
gtkdoc-check,Python script,1401
gtkdoc-depscan,Python script,13185
gtkdoc-fixxref,Python script,2396
gtkdoc-mkdb,Python script,2946
gtkdoc-mkhtml,Python script,2076
gtkdoc-mkhtml2,Python script,2361
gtkdoc-mkman,Python script,2002
gtkdoc-mkpdf,Python script,2002
