Program Name,Program Type,Size in Bytes
findacro,a /usr/bin/csh -f script,1036
crc32,Perl script text executable,1043
package-stash-conflicts,Perl script text executable,1051
gstack,a /usr/bin/sh script,1068
cinnamon-json-makepot,Python script,1077
ps2pdfwr,a /usr/bin/sh script,1082
findglimpse,a /usr/bin/sh script,1083
vimdot,a /usr/bin/sh script,1086
mkindex,a /usr/bin/sh script,1101
monodocer,a /usr/bin/sh script,1102
db4-entities.pl,Perl script text executable,1110
mm2_update-mirrorlist-server,Bourne-Again shell script,1112
GraphicsMagick++-config,a /usr/bin/sh script,1120
GraphicsMagick-config,a /usr/bin/sh script,1125
rst2html5,Python script,1140
ibus-setup,a /usr/bin/sh script,1175
perl-tags,Perl script text executable,1177
mp2bug,Perl script text executable,1186
findkic,a /usr/bin/sh script,1197
findppmx,a /usr/bin/sh script,1200
findppmxl,a /usr/bin/sh script,1200
w3mman,Perl script text executable,1204
bf_copy,a /usr/bin/sh script,1216
dumpcpandist,Perl script text executable,1229
diff-jars,Bourne-Again shell script,1238
pomdump,Perl script text executable,1240
GraphicsMagickWand-config,a /usr/bin/sh script,1243
podspell,Perl script text executable,1248
pdftexi2dvi,a /usr/bin/sh script,1250
texi2pdf,a /usr/bin/sh script,1250
htmltree,Perl script text executable,1258
ps2epsi,a /usr/bin/sh script,1258
isogmt,Bourne-Again shell script,1260
bzmore,a /usr/bin/sh script,1263
update-ca-trust,a /usr/bin/sh script,1272
konsoleprofile,a /usr/bin/sh script,1273
onboard,Python script,1277
mono-service,a /usr/bin/sh script,1292
mono-service2,a /usr/bin/sh script,1292
db2html,a /usr/bin/sh script,1294
cinnamon-preview-gtk-theme,Python script,1309
abrt-action-analyze-ccpp-local,a /usr/bin/sh script,1315
xorg-x11-fonts-update-dirs,a /usr/bin/sh script,1326
clc-unregister-user-package,a /usr/bin/sh script,1327
abrt,Python script,1328
sushi,a /usr/bin/gjs script,1342
compile_et,a /usr/bin/sh script,1346
dbilogstrip,Perl script text executable,1380
Wand-config,a /usr/bin/sh script,1383
Magick-config,a /usr/bin/sh script,1388
abrt-action-analyze-vulnerability,a /usr/bin/sh script,1399
gtkdoc-check,Python script,1401
tkjpeg,Perl script text executable,1402
clc-register-user-package,a /usr/bin/sh script,1406
MagickCore-config,a /usr/bin/sh script,1426
MagickWand-config,a /usr/bin/sh script,1431
mypyc,Python script,1434
git-cola,Python script,1445
startfluxbox,a /usr/bin/sh script,1448
git-dag,Python script,1450
Magick++-config,a /usr/bin/sh script,1452
mono-package-runtime,Bourne-Again shell script,1473
build-classpath,Bourne-Again shell script,1478
catfish,Python script,1481
xfce4-popup-windowmenu,a /usr/bin/sh script,1497
xfce4-popup-directorymenu,a /usr/bin/sh script,1500
jsonlint,Python script,1503
build-jar-repository,Bourne-Again shell script,1507
xminicom,a /usr/bin/sh script,1510
podlint,Perl script text executable,1537
cpanget,a /usr/bin/sh script,1541
setup-nsssysinit.sh,a /usr/bin/sh script,1543
xfce4-popup-places,a /usr/bin/sh script,1543
xfce4-popup-whiskermenu,a /usr/bin/sh script,1544
lneato,a /usr/bin/sh script,1551
xfce4-popup-applicationsmenu,a /usr/bin/sh script,1572
tcptraceroute,a /usr/bin/sh script,1586
libyui-terminal,a /usr/bin/sh script,1591
findsdss3,a /usr/bin/sh script,1607
findsdss4,a /usr/bin/sh script,1607
findsdss5,a /usr/bin/sh script,1607
findsdss6,a /usr/bin/sh script,1607
findsdss7,a /usr/bin/sh script,1607
findsdss8,a /usr/bin/sh script,1607
findsdss9,a /usr/bin/sh script,1607
rakudo-valgrind-m,OS/2 REXX batch file,1609
slick-greeter-check-hidpi,Python script,1627
odf2xhtml,Python script,1628
ca-legacy,a /usr/bin/sh script,1648
aclient_cgi,a /usr/bin/sh script,1652
bf_tar,a /usr/bin/sh script,1670
grub2-kbdcomp,a /usr/bin/sh script,1672
zcmp,a /usr/bin/sh script,1682
mcheck,a /usr/bin/sh script,1683
mm2_refresh_mirrorlist_cache,Python script,1688
gnome-shell-extension-tool,Python script,1706
xflock4,a /usr/bin/sh script,1721
rst2odt_prepstyles,Python script,1729
subtitles,Bourne-Again shell script,1735
findsdss-sp,a /usr/bin/sh script,1738
instperf,Python script,1745
rebuild-jar-repository,Bourne-Again shell script,1752
rakudo-lldb-m,OS/2 REXX batch file,1783
xzless,a /usr/bin/sh script,1803
strace-log-merge,a /usr/bin/sh script,1825
start-pulseaudio-x11,a /usr/bin/sh script,1836
l4p-tmpl,Perl script text executable,1846
python2.7-config,Python script,1846
zmore,a /usr/bin/sh script,1846
xdvi,a /usr/bin/sh script,1867
xml2-config,a /usr/bin/sh script,1876
cinnamon-killer-daemon,Python script,1893
register-python-argcomplete,Python script,1920
abrt-action-check-oops-for-alt-component,Python script,1926
rakudo-gdb-m,OS/2 REXX batch file,1931
dnf-3,Python script,1942
pcre2-config,a /usr/bin/sh script,1954
slick-greeter-set-keyboard-layout,Python script,1962
glib-config,a /usr/bin/sh script,1971
run-parts,Bourne-Again shell script,1987
zcat,a /usr/bin/sh script,1988
gtkdoc-mkman,Python script,2002
gtkdoc-mkpdf,Python script,2002
ibus-setup-cangjie,Python script,2015
gdbus-codegen,Python script,2038
sliceprint,Perl script text executable,2039
isartags,Perl script text executable,2041
pa-info,Bourne-Again shell script,2043
bzgrep,a /usr/bin/sh script,2058
gtkdoc-mkhtml,Python script,2076
zforce,a /usr/bin/sh script,2085
dotty,a /usr/bin/sh script,2089
findenis,a /usr/bin/sh script,2103
findenis1,a /usr/bin/sh script,2103
findenis2,a /usr/bin/sh script,2103
findenis3,a /usr/bin/sh script,2103
bf_compact,a /usr/bin/sh script,2106
vimtutor,a /usr/bin/sh script,2124
pcre-config,a /usr/bin/sh script,2142
bzdiff,a /usr/bin/sh script,2144
gtk-config,a /usr/bin/sh script,2161
xzmore,a /usr/bin/sh script,2166
probe,Perl script text executable,2170
pflags,Python script,2171
gvmap.sh,a /usr/bin/sh script,2194
dnfdragora-updater,Python script,2203
zless,a /usr/bin/sh script,2210
legotags,Perl script text executable,2218
cinnamon-file-dialog,Python script,2220
padsp-32,a /usr/bin/sh script,2229
padsp,a /usr/bin/sh script,2233
weather,a /usr/bin/sh script,2241
caribou-preferences,Python script,2259
smbprint,a /usr/bin/sh script,2292
odf2mht,Python script,2296
tgz,a /usr/bin/sh script,2299
gunzip,a /usr/bin/sh script,2350
mimedump,Perl script text executable,2350
gtkdoc-mkhtml2,Python script,2361
find_cats,a /usr/bin/csh -f script,2391
gtkdoc-fixxref,Python script,2396
pinentry,a /usr/bin/sh script,2408
ruby,Bourne-Again shell script,2409
lwp-mirror,Perl script text executable,2413
libpng16-config,a /usr/bin/sh script,2440
odf2xml,Python script,2455
shade-jar,Bourne-Again shell script,2463
ltags,Perl script text executable,2466
simref,a /usr/bin/csh -f script,2479
foomatic-searchprinter,Perl script text executable,2489
cinnamon-install-spice,Python script,2522
podselect,Perl script text executable,2527
uz,a /usr/bin/sh script,2545
ptardiff,Perl script text executable,2549
python-argcomplete-check-easy-install-script,Python script,2558
abrt-action-analyze-vmcore,Python script,2597
gtkdoc-rebase,Python script,2623
lpunlock,a /usr/bin/sh script,2623
mm2_get_global_netblocks,Bourne-Again shell script,2624
odfuserfield,Python script,2631
unicode_start,a /usr/bin/sh script,2633
findgsc,a /usr/bin/sh script,2667
findgsc1.1,a /usr/bin/sh script,2667
findgsc1.2,a /usr/bin/sh script,2667
findgsc1.3,a /usr/bin/sh script,2667
findgsc2.2,a /usr/bin/sh script,2667
findgsc2.3,a /usr/bin/sh script,2667
amuFormat.sh,a /usr/bin/sh script,2672
dvipdft,a /usr/bin/sh script,2692
lwp-dump,Perl script text executable,2711
cinnamon-launcher,Python script,2729
mimepostcard,Perl script text executable,2740
anaconda-cleanup,Python script,2744
mymeta-cpanfile,Perl script text executable,2773
grog,Perl script text executable,2778
gtkdoc-scan,Python script,2801
mailodf,Python script,2818
guild,a /usr/bin/sh script,2872
guild2.2,a /usr/bin/sh script,2875
mm2_get_internet2_netblocks,Bourne-Again shell script,2898
eu-make-debug-archive,a /usr/bin/sh script,2915
mkCSGB2312,Perl script text executable,2918
FoX-config,a /usr/bin/sh script,2939
gtkdoc-mkdb,Python script,2946
zipgrep,a /usr/bin/sh script,2957
encguess,Perl script text executable,2989
pdfmom,Perl script text executable,3100
proofgeneral,a /usr/bin/sh script,3100
blivet-gui-daemon,Python script,3109
startxfce4,a /usr/bin/sh script,3131
mimesend,Perl script text executable,3136
mm2_move-to-archive,Python script,3259
lesspipe.sh,a /usr/bin/sh script,3264
nroff,a /usr/bin/sh script,3285
sqlt-dumper,Perl script text executable,3287
abrt-action-perform-ccpp-analysis,Python script,3289
catchsegv,a /usr/bin/sh script,3289
cpanp,Perl script text executable,3305
findrule,Perl script text executable,3327
gtkdoc-scangobj,Python script,3351
mimeexplode,Perl script text executable,3355
esmtp-wrapper,Bourne-Again shell script,3378
sesame,a /usr/bin/sh script,3378
python3.7dm-x86_64-config,makefile script,3400
python3.7m-x86_64-config,makefile script,3407
extractres,Perl script text executable,3411
net-server,Perl script text executable,3418
bind9-config,a /usr/bin/sh script,3421
isc-config.sh,a /usr/bin/sh script,3421
flatpak-coredumpctl,Python script,3433
activate-global-python-argcomplete,Python script,3462
ptar,Perl script text executable,3470
gcore,Bourne-Again shell script,3473
find_gen,a /usr/bin/sh script,3523
gpg-zip,a /usr/bin/sh script,3529
cpanfile-dump,Perl script text executable,3542
abibcode,a /usr/bin/csh script,3559
python3.8-x86_64-config,makefile script,3592
python3.6m-x86_64-config,makefile script,3602
python3.9-x86_64-config,makefile script,3624
blivet-gui,Python script,3647
podchecker,Perl script text executable,3658
abrt-action-list-dsos,Python script,3717
koi8rxterm,a /usr/bin/sh script,3763
cscope-indexer,a /usr/bin/sh script,3780
mirrorMappings,Perl script text executable,3783
python3.5m-x86_64-config,makefile script,3799
binhex.pl,Perl script text executable,3834
mmroff,Perl script text executable,3838
zstdgrep,a /usr/bin/sh script,3873
fips-mode-setup,Bourne-Again shell script,3884
pom2,Perl script text executable,3891
mm2_emergency-expire-repo,Python script,3992
foomatic-ppd-options,Perl script text executable,4000
texindex,a /usr/bin/sh script,4001
gtkdocize,a /usr/bin/sh script,4038
xlet-about-dialog,Python script,4070
map,Perl script text executable,4075
nytprofcg,Perl script text executable,4075
usb-devices,a /usr/bin/sh script,4104
pod2usage,Perl script text executable,4107
ifnames,Perl script text executable,4128
pod2html,Perl script text executable,4134
find_gen1,a /usr/bin/sh script,4147
mkmapfile,Perl script text executable,4174
instmodsh,Perl script text executable,4194
mm2_update-EC2-netblocks,Python script,4236
bon_csv2txt,Perl script text executable,4242
xscreensaver-getimage-video,Perl script text executable,4267
uxterm,a /usr/bin/sh script,4269
sotruss,Bourne-Again shell script,4283
cpan-mirrors,Perl script text executable,4288
ptargrep,Perl script text executable,4299
mono-test-install,Bourne-Again shell script,4324
catalyst.pl,Perl script text executable,4360
install-catalog,a /usr/bin/sh script,4378
gdb-add-index,a /usr/bin/sh script,4415
coqtags,Perl script text executable,4419
brltty-config,a /usr/bin/sh script,4445
rcsfreeze,a /usr/bin/sh script,4447
freetype-config,a /usr/bin/sh script,4474
pl2pm,Perl script text executable,4533
diffpp,Perl script text executable,4548
znew,a /usr/bin/sh script,4557
mm2_generate-worldmap,Python script,4562
ptaskset,Python script,4573
odfoutline,Python script,4577
create-jar-links,Bourne-Again shell script,4595
findsmb,Perl script text executable,4604
abrt-action-analyze-core,Python script,4613
pchrt,Python script,4622
foomatic-compiledb,Perl script text executable,4629
switcherooctl,Python script,4649
bdf2gdfont.pl,Perl script text executable,4689
thunderbird,Bourne-Again shell script,4723
passmass,a /usr/bin/sh script,4741
phpize,a /usr/bin/sh script,4745
mm2_upgrade-install-repo,Python script,4765
nytprofpf,Perl script text executable,4811
mm2_move-devel-to-release,Python script,4834
tab2graph,Perl script text executable,4854
xpath,Perl script text executable,4857
mech-dump,Perl script text executable,4860
mm2_create_install_repo,Python script,4866
xkibitz,a /usr/bin/sh script,4866
json_pp,Perl script text executable,4896
smbtar,a /usr/bin/sh script,4926
rsync-ssl,Bourne-Again shell script,4937
erb,Ruby script,5060
xsubpp,Perl script text executable,5080
dm_zdump,Perl script text executable,5109
gpinyin,Perl script text executable,5133
dbicdump,Perl script text executable,5156
gettext.sh,a /usr/bin/sh script,5191
use-devel-assertos,Perl script text executable,5193
psjoin,Perl script text executable,5218
cinnamon-settings,Python script,5292
kernel-install,Bourne-Again shell script,5310
pdiff,a /usr/bin/sh script,5345
dnfdragora,Python script,5358
glib-gettextize,a /usr/bin/sh script,5390
ldd,Bourne-Again shell script,5447
shell-quote,Perl script text executable,5473
dm_date,Perl script text executable,5513
seapplet,Python script,5534
gmt-config,Bourne-Again shell script,5544
nytprofcsv,Perl script text executable,5549
sqlt-diagram,Perl script text executable,5553
abrt-action-find-bodhi-update,Python script,5587
