Program Name,Program Type,Size in Bytes
jupyter-kernelspec,Python script,1001
jupyter-migrate,Python script,989
jupyter-nbconvert,Python script,984
jupyter-nbextension,Python script,985
jupyter-notebook,Python script,979
jupyter-qtconsole,Python script,976
jupyter-run,Python script,987
jupyter-serverextension,Python script,993
jupyter-troubleshoot,Python script,999
keyring,Python script,961
keyring-python3,Python script,961
kvm_stat,Python script,62040
lightdm-settings,Python script,216
lsusb.py,Python script,14273
mako-render-3.9,Python script,972
miniterm-3.py,Python script,35101
mirrorlist_statistics,Python script,7127
mm2_crawler,Python script,55694
mm2_create_install_repo,Python script,4866
mm2_emergency-expire-repo,Python script,3992
mm2_generate-worldmap,Python script,4562
mm2_move-devel-to-release,Python script,4834
mm2_move-to-archive,Python script,3259
mm2_propagation,Python script,9258
mm2_refresh_mirrorlist_cache,Python script,1688
mm2_umdl2,Python script,10374
mm2_update-EC2-netblocks,Python script,4236
mm2_update-master-directory-list,Python script,40213
mm2_upgrade-install-repo,Python script,4765
mod_wsgi-express-3,Python script,979
mono-heapviz,Python script,11145
mono-sgen-gdb.py,Python script,12186
mypy,Python script,943
mypyc,Python script,1434
nudatus,Python script,958
ogrmerge.py,Python script,23009
orca,Python script,8742
pastebin,Python script,776
pasteurize-3.9,Python script,964
pathfix3.7.py,Python script,6717
pathfix3.8.py,Python script,6786
pathfix3.9.py,Python script,6786
pbr-3,Python script,151
pchrt,Python script,4622
pflags,Python script,2171
pgzrun,Python script,947
pinout,Python script,959
pip,Python script,648
pip3,Python script,648
pip3.9,Python script,648
pipdeptree,Python script,976
pipenv,Python script,965
pipenv-resolver,Python script,983
pipreqs,Python script,958
pipsi,Python script,942
pkginfo,Python script,964
poetry,Python script,956
powerline-config,Python script,582
powerline-lint,Python script,343
powerline-render,Python script,886
proselint,Python script,971
pt2to3,Python script,953
ptaskset,Python script,4573
ptdump,Python script,953
ptrepack,Python script,957
pttree,Python script,953
pudb3,Python script,954
purple-remote,Python script,8378
purple-url-handler,Python script,10392
py.test-3.9,Python script,955
pycodestyle-3.9,Python script,978
pydoc2.7,Python script,78
pydoc3.5,Python script,78
pydoc3.6,Python script,78
pydoc3.7,Python script,78
pydoc3.8,Python script,78
pydoc3.9,Python script,78
pydocstyle,Python script,973
pyflakes-3.9,Python script,963
pygmentize,Python script,967
pygtk-demo,Python script,189
pyinotify,Python script,968
pylint-3.9,Python script,953
pyreadelf-3.9,Python script,63739
pyreverse-3.9,Python script,959
pytest-3.9,Python script,953
python-argcomplete-check-easy-install-script,Python script,2558
python2.7-config,Python script,1846
python3-autopep8,Python script,387
pyvenv-3.5,Python script,230
pyvenv-3.6,Python script,435
pyvenv-3.7,Python script,435
redshift-gtk,Python script,985
register-python-argcomplete,Python script,1920
report_mirror,Python script,9682
rst2html,Python script,597
rst2html4,Python script,717
rst2latex,Python script,794
rst2man,Python script,602
rst2odt,Python script,767
rst2odt_prepstyles,Python script,1729
rst2pseudoxml,Python script,604
rst2s5,Python script,640
rst2xetex,Python script,874
rst2xml,Python script,605
rstpep2html,Python script,673
runxlrd,Python script,16287
scour,Python script,951
sealert,Python script,27534
seapplet,Python script,5534
set-default-locale,Python script,393
slick-greeter-check-hidpi,Python script,1627
slick-greeter-set-keyboard-layout,Python script,1962
smb2-quota,Python script,6455
smtpd2.7.py,Python script,18542
stubgen,Python script,949
stubtest,Python script,951
symilar-3.9,Python script,955
tabulate,Python script,963
testr-3.9,Python script,960
thonny,Python script,945
tox,Python script,941
tox-quickstart,Python script,963
uflash,Python script,953
ufs,Python script,950
upload-system-info,Python script,605
vimiv,Python script,309
virtualenv,Python script,979
virtualenv-clone,Python script,1003
xlet-about-dialog,Python script,4070
xlet-settings,Python script,286
yamllint,Python script,966
msgfmt2.7.py,Python script,6487
pygettext2.7.py,Python script,22082
pygettext3.6.py,Python script,21547
pygettext3.7.py,Python script,21547
pygettext3.8.py,Python script,21535
pygettext3.9.py,Python script,21535
chrome-gnome-shell,Python script,21673
csv2ods,Python script,9058
dnfdragora-updater,Python script,2203
gnome-abrt,Python script,11729
gtkdoc-check,Python script,1401
mailodf,Python script,2818
msgfmt3.6.py,Python script,7080
msgfmt3.7.py,Python script,7080
msgfmt3.8.py,Python script,7590
msgfmt3.9.py,Python script,7590
